"Level","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review","Distractor_Method"
"Advanced","**Stacked Bar Graph 1: Revenue ($1000) by Product Category in Three Cities (2021–2023)**
- 2021: City A (Electronics: 300, Apparel: 200, Food: 100), City B (200, 150, 50), City C (250, 100, 50)
- 2022: City A (350, 220, 120), City B (220, 160, 60), City C (270, 120, 60)
- 2023: City A (400, 250, 150), City B (250, 180, 70), City C (300, 150, 80)

Question: Which category showed the highest growth in City C from 2021 to 2023?","Food showed the highest growth in City B from 2021 to 2023 with an increase from 50 to 70.","The Electronics category showed the highest growth in City C from 2021 to 2023 with an increase from 100 to 150.","Food","Apparel showed the highest growth in City C from 2021 to 2023 with a growth of 50 points.","C","Electronics: (300 - 250) ÷ 250 × 100 = 20%.
Apparel: (150 - 100) ÷ 100 × 100 = 50%.
Food: (80 - 50) ÷ 50 × 100 = 60%.
Highest is Food.","TRUE","llm"
"Advanced","**Stacked Bar Graph 1: Revenue ($1000) by Product Category in Three Cities (2021–2023)**
- 2021: City A (Electronics: 300, Apparel: 200, Food: 100), City B (200, 150, 50), City C (250, 100, 50)
- 2022: City A (350, 220, 120), City B (220, 160, 60), City C (270, 120, 60)
- 2023: City A (400, 250, 150), City B (250, 180, 70), City C (300, 150, 80)

Question: What is the percentage contribution of Electronics to total revenue in City B in 2023?","70%","50%","100%","55%","B","Total = 250 + 180 + 70 = 500. % Electronics = (250 ÷ 500) × 100 = 50%.","TRUE","mechanical"
"Advanced","**Stacked Bar Graph 1: Revenue ($1000) by Product Category in Three Cities (2021–2023)**
- 2021: City A (Electronics: 300, Apparel: 200, Food: 100), City B (200, 150, 50), City C (250, 100, 50)
- 2022: City A (350, 220, 120), City B (220, 160, 60), City C (270, 120, 60)
- 2023: City A (400, 250, 150), City B (250, 180, 70), City C (300, 150, 80)

Question: What is the combined revenue of Apparel and Food in City A in 2022?","$340,000","$374,000","$680,000","$306,000","A","Apparel (220) + Food (120) = 340 ($1000) = $340,000.","TRUE","mechanical"
"Advanced","**Stacked Bar Graph 1: Revenue ($1000) by Product Category in Three Cities (2021–2023)**
- 2021: City A (Electronics: 300, Apparel: 200, Food: 100), City B (200, 150, 50), City C (250, 100, 50)
- 2022: City A (350, 220, 120), City B (220, 160, 60), City C (270, 120, 60)
- 2023: City A (400, 250, 150), City B (250, 180, 70), City C (300, 150, 80)

Question: Which year had the highest total revenue across all cities?","had a higher total revenue than the combined revenues of City A in 2021 and City B in 2022 alone.","had the highest total revenue across all cities.","2023","The year with the lowest total revenue across all cities was 2023.","C","2021: A (600) + B (400) + C (400) = 1400.
2022: A (690) + B (440) + C (450) = 1580.
2023: A (800) + B (500) + C (530) = 1830 ($1000).
Highest is 2023.","TRUE","llm"
"Advanced","**Stacked Bar Graph 1: Revenue ($1000) by Product Category in Three Cities (2021–2023)**
- 2021: City A (Electronics: 300, Apparel: 200, Food: 100), City B (200, 150, 50), City C (250, 100, 50)
- 2022: City A (350, 220, 120), City B (220, 160, 60), City C (270, 120, 60)
- 2023: City A (400, 250, 150), City B (250, 180, 70), City C (300, 150, 80)

Question: What is the CAGR of total revenue in City A from 2021 to 2023?","13.92%","15.47%","17.02%","30.94%","B","Initial = 600, Final = 800. CAGR = [(800 ÷ 600)^(1/2) - 1] × 100 ≈ 15.47%.","TRUE","mechanical"
"Advanced","**Stacked Bar Graph 2: Student Enrollments by Program (2021–2023)**
- 2021: UG (500), PG (300), Diploma (200)
- 2022: UG (550), PG (320), Diploma (220)
- 2023: UG (600), PG (350), Diploma (250)

Question: What is the total enrollment in PG over the three years?","300 students","970 students","320 students","350 students","B","Total = 300 + 320 + 350 = 970 students.","TRUE","mechanical"
"Advanced","**Stacked Bar Graph 2: Student Enrollments by Program (2021–2023)**
- 2021: UG (500), PG (300), Diploma (200)
- 2022: UG (550), PG (320), Diploma (220)
- 2023: UG (600), PG (350), Diploma (250)

Question: Which program had the highest enrollment in 2023?","The UG program actually decreased in enrollment by 50 students from 2021.","The PG program had the highest enrollment in 2023, increasing by 50 students from 2022.","UG","The Diploma program had the lowest enrollment in 2023, decreasing by 30 students from 2022, but still had more enrollments than the PG program in 2021.","C","UG (600), PG (350), Diploma (250). Highest is UG.","TRUE","llm"
"Advanced","**Stacked Bar Graph 2: Student Enrollments by Program (2021–2023)**
- 2021: UG (500), PG (300), Diploma (200)
- 2022: UG (550), PG (320), Diploma (220)
- 2023: UG (600), PG (350), Diploma (250)

Question: What is the percentage growth of Diploma enrollment from 2021 to 2023?","25%","28%","50%","22%","A","Increase = 250 - 200 = 50. % Growth = (50 ÷ 200) × 100 = 25%.","TRUE","mechanical"
"Advanced","**Stacked Bar Graph 2: Student Enrollments by Program (2021–2023)**
- 2021: UG (500), PG (300), Diploma (200)
- 2022: UG (550), PG (320), Diploma (220)
- 2023: UG (600), PG (350), Diploma (250)

Question: What is the total enrollment in 2022?","550 students","1,199 students","2,180 students","1090 students","D","Total = 550 + 320 + 220 = 1090 students.","TRUE","mechanical"
"Advanced","**Stacked Bar Graph 2: Student Enrollments by Program (2021–2023)**
- 2021: UG (500), PG (300), Diploma (200)
- 2022: UG (550), PG (320), Diploma (220)
- 2023: UG (600), PG (350), Diploma (250)

Question: What is the ratio of UG to PG enrollment in 2021?","5 : 3","The ratio of UG to PG enrollment in 2023 was 12 : 16.","The ratio of Diploma to PG enrollment in 2022 was 5 : 6.","The ratio of UG to PG enrollment in 2021 was 10 : 7.","A","UG (500) : PG (300) = 500 : 300 = 5 : 3.","TRUE","llm"
"Advanced","**Stacked Bar Graph 2: Student Enrollments by Program (2021–2023)**
- 2021: UG (500), PG (300), Diploma (200)
- 2022: UG (550), PG (320), Diploma (220)
- 2023: UG (600), PG (350), Diploma (250)

Question: Which program showed the highest percentage growth from 2021 to 2022?","UG or Diploma","PG had the highest percentage growth from 2021 to 2023, with an increase of 16.67% in enrollments.","The program with the lowest percentage growth from 2021 to 2022 was UG, at a mere 2% increase in enrollments.","Diploma showed the highest percentage growth from 2021 to 2022 due to a 10% increase in enrollments.","A","UG: (550 - 500) ÷ 500 × 100 = 10%.
PG: (320 - 300) ÷ 300 × 100 ≈ 6.67%.
Diploma: (220 - 200) ÷ 200 × 100 = 10%.
UG and Diploma tie.","TRUE","llm"
"Advanced","**Stacked Bar Graph 2: Student Enrollments by Program (2021–2023)**
- 2021: UG (500), PG (300), Diploma (200)
- 2022: UG (550), PG (320), Diploma (220)
- 2023: UG (600), PG (350), Diploma (250)

Question: What is the percentage contribution of PG to total enrollment in 2023?","29.17%","58.34%","32.09%","26.25%","A","Total = 600 + 350 + 250 = 1200. % PG = (350 ÷ 1200) × 100 ≈ 29.17%.","TRUE","mechanical"
"Advanced","**Stacked Bar Graph 2: Student Enrollments by Program (2021–2023)**
- 2021: UG (500), PG (300), Diploma (200)
- 2022: UG (550), PG (320), Diploma (220)
- 2023: UG (600), PG (350), Diploma (250)

Question: What is the combined enrollment of UG and Diploma in 2022?","847 students","770 students","550 students","1,540 students","B","UG (550) + Diploma (220) = 770 students.","TRUE","mechanical"
"Advanced","**Stacked Bar Graph 2: Student Enrollments by Program (2021–2023)**
- 2021: UG (500), PG (300), Diploma (200)
- 2022: UG (550), PG (320), Diploma (220)
- 2023: UG (600), PG (350), Diploma (250)

Question: Which year had the highest total enrollment?","The year with the highest total enrollment was actually 2022, with a sum of 1090 students.","2023","had the highest total enrollment due to a larger number of UG students compared to the other years.","had the lowest total enrollment because the number of Diploma students decreased from 2022 to 2023.","B","2021: 1000. 2022: 1090. 2023: 1200. Highest is 2023.","TRUE","llm"
"Advanced","**Stacked Bar Graph 2: Student Enrollments by Program (2021–2023)**
- 2021: UG (500), PG (300), Diploma (200)
- 2022: UG (550), PG (320), Diploma (220)
- 2023: UG (600), PG (350), Diploma (250)

Question: What is the CAGR of UG enrollment from 2021 to 2023?","19.08%","9.54%","8.59%","10.49%","B","Initial = 500, Final = 600. CAGR = [(600 ÷ 500)^(1/2) - 1] × 100 ≈ 9.54%.","TRUE","mechanical"
"Advanced","**Combination Chart 1: Sales (units) and Profit Margin (%) of a Product (2019–2023)**
- Bar (Sales): 2019 (10,000), 2020 (12,000), 2021 (15,000), 2022 (18,000), 2023 (20,000)
- Line (Profit Margin): 2019 (5%), 2020 (6%), 2021 (7%), 2022 (8%), 2023 (10%)

Question: What is the profit in 2023?","1,800 units","4,000 units","2000 units","2,200 units","C","Profit = Sales × Margin = 20,000 × (10 ÷ 100) = 2000 units.","TRUE","mechanical"
"Advanced","**Combination Chart 1: Sales (units) and Profit Margin (%) of a Product (2019–2023)**
- Bar (Sales): 2019 (10,000), 2020 (12,000), 2021 (15,000), 2022 (18,000), 2023 (20,000)
- Line (Profit Margin): 2019 (5%), 2020 (6%), 2021 (7%), 2022 (8%), 2023 (10%)

Question: Which year had the highest profit margin?","The year with the highest profit margin was 2021 because its 7% margin was the highest among the given years.","had the highest profit margin because its 6% margin was higher than the others, and it was the first year to experience a profit margin increase.","had the highest profit margin because its 8% margin was higher than the 7% in 2021 and the 6% in 2020.","2023","D","2023 (10%) is highest.","TRUE","llm"
"Advanced","**Combination Chart 1: Sales (units) and Profit Margin (%) of a Product (2019–2023)**
- Bar (Sales): 2019 (10,000), 2020 (12,000), 2021 (15,000), 2022 (18,000), 2023 (20,000)
- Line (Profit Margin): 2019 (5%), 2020 (6%), 2021 (7%), 2022 (8%), 2023 (10%)

Question: What is the CAGR of sales from 2019 to 2023?","17.03%","37.84%","18.92%","20.81%","C","Initial = 10,000, Final = 20,000. CAGR = [(20,000 ÷ 10,000)^(1/4) - 1] × 100 ≈ 18.92%.","TRUE","mechanical"
"Advanced","**Combination Chart 1: Sales (units) and Profit Margin (%) of a Product (2019–2023)**
- Bar (Sales): 2019 (10,000), 2020 (12,000), 2021 (15,000), 2022 (18,000), 2023 (20,000)
- Line (Profit Margin): 2019 (5%), 2020 (6%), 2021 (7%), 2022 (8%), 2023 (10%)

Question: What is the total profit over the five years?","5710 units","2,020 units","10,000 units","2,019 units","A","2019: 10,000 × 0.05 = 500. 2020: 12,000 × 0.06 = 720. 2021: 15,000 × 0.07 = 1050.
2022: 18,000 × 0.08 = 1440. 2023: 2000. Total = 500 + 720 + 1050 + 1440 + 2000 = 5710 units.","TRUE","mechanical"
"Advanced","**Combination Chart 1: Sales (units) and Profit Margin (%) of a Product (2019–2023)**
- Bar (Sales): 2019 (10,000), 2020 (12,000), 2021 (15,000), 2022 (18,000), 2023 (20,000)
- Line (Profit Margin): 2019 (5%), 2020 (6%), 2021 (7%), 2022 (8%), 2023 (10%)

Question: What is the ratio of profit in 2021 to 2022?","The profit in 2021 was 7% of 15,000, so the profit was 1,050 units, and the profit in 2022 was 8% of 18,000, so the profit was 1,440 units. The ratio is therefore 1,050 : 1,440.","35 : 48","The profit in 2021 was 7% of 15,000, so the profit was 1,050 units, and the profit in 2022 was 8% of 22,000, so the profit was 1,760 units. The ratio is therefore 1,050 : 1,760.","The profit in 2021 was 7% of 13,000, so the profit was 910 units, and the profit in 2022 was 8% of 18,000, so the profit was 1,440 units. The ratio is therefore 910 : 1,440.","B","2021: 1050. 2022: 1440. Ratio = 1050 : 1440 = 7 : 9.6 ≈ 35 : 48.","TRUE","llm"
"Advanced","**Combination Chart 1: Sales (units) and Profit Margin (%) of a Product (2019–2023)**
- Bar (Sales): 2019 (10,000), 2020 (12,000), 2021 (15,000), 2022 (18,000), 2023 (20,000)
- Line (Profit Margin): 2019 (5%), 2020 (6%), 2021 (7%), 2022 (8%), 2023 (10%)

Question: Which year showed the highest percentage growth in sales?","Option 1: 2023, as the sales units increased from 20,000 to 22,000, resulting in a 10% growth.","Option 2: 2020, as the sales units increased from 12,000 to 15,000 but the 25% growth was achieved in just one year.","2021","Option 3: 2019, as the sales units increased from 15,000 to 18,000 between 2021 and 2022, and then to 20,000 in 2023, resulting in a 33% growth over two years.","C","2020: (12,000 - 10,000) ÷ 10,000 × 100 = 20%.
2021: (15,000 - 12,000) ÷ 12,000 × 100 = 25%.
2022: (18,000 - 15,000) ÷ 15,000 × 100 = 20%.
2023: (20,000 - 18,000) ÷ 18,000 × 100 ≈ 11.11%.
Highest is 2021.","TRUE","llm"
"Advanced","**Combination Chart 1: Sales (units) and Profit Margin (%) of a Product (2019–2023)**
- Bar (Sales): 2019 (10,000), 2020 (12,000), 2021 (15,000), 2022 (18,000), 2023 (20,000)
- Line (Profit Margin): 2019 (5%), 2020 (6%), 2021 (7%), 2022 (8%), 2023 (10%)

Question: What is the percentage contribution of 2023 profit to total profit?","38.53%","35.03%","70.06%","100%","B","Total profit = 5710. 2023: 2000. % = (2000 ÷ 5710) × 100 ≈ 35.03%.","TRUE","mechanical"
"Advanced","**Combination Chart 1: Sales (units) and Profit Margin (%) of a Product (2019–2023)**
- Bar (Sales): 2019 (10,000), 2020 (12,000), 2021 (15,000), 2022 (18,000), 2023 (20,000)
- Line (Profit Margin): 2019 (5%), 2020 (6%), 2021 (7%), 2022 (8%), 2023 (10%)

Question: What is the average profit margin over the five years?","6%","5%","7%","7.2%","D","Total = 5 + 6 + 7 + 8 + 10 = 36. Average = 36 ÷ 5 = 7.2%.","TRUE","mechanical"
"Advanced","**Combination Chart 1: Sales (units) and Profit Margin (%) of a Product (2019–2023)**
- Bar (Sales): 2019 (10,000), 2020 (12,000), 2021 (15,000), 2022 (18,000), 2023 (20,000)
- Line (Profit Margin): 2019 (5%), 2020 (6%), 2021 (7%), 2022 (8%), 2023 (10%)

Question: What is the difference in profit between 2022 and 2023?","1,440 units","1,120 units","560 units","616 units","C","2023: 2000 - 2022: 1440 = 560 units.","TRUE","mechanical"
"Advanced","**Combination Chart 1: Sales (units) and Profit Margin (%) of a Product (2019–2023)**
- Bar (Sales): 2019 (10,000), 2020 (12,000), 2021 (15,000), 2022 (18,000), 2023 (20,000)
- Line (Profit Margin): 2019 (5%), 2020 (6%), 2021 (7%), 2022 (8%), 2023 (10%)

Question: If sales in 2024 are projected to grow by 10% with a 12% margin, what is the projected profit?","5,280 units","2,024 units","2640 units","2,023 units","C","2023 Sales = 20,000. 2024 Sales = 20,000 × 1.1 = 22,000. Profit = 22,000 × 0.12 = 2640 units.","TRUE","mechanical"
"Advanced","**Combination Chart 2: Revenue ($1000) and Growth Rate (%) of a Company (2020–2023)**
- Bar (Revenue): 2020 (500), 2021 (600), 2022 (750), 2023 (900)
- Line (Growth Rate): 2021 (20%), 2022 (25%), 2023 (20%)

Question: What is the revenue in 2023?","$810,000","$900,000","$1,800,000","$990,000","B","Revenue = 900 ($1000) = $900,000.","TRUE","mechanical"
"Advanced","**Combination Chart 2: Revenue ($1000) and Growth Rate (%) of a Company (2020–2023)**
- Bar (Revenue): 2020 (500), 2021 (600), 2022 (750), 2023 (900)
- Line (Growth Rate): 2021 (20%), 2022 (25%), 2023 (20%)

Question: Which year had the highest growth rate?","had the highest growth rate in terms of percentage increase as it showed a growth of 20% from 2022.","The year with the highest growth rate was 2023, since it had a very high revenue of $900, indicating substantial growth.","The year with the highest growth rate was 2021 due to a significant increase in revenue from 2020 to 2021.","2022","D","2022 (25%) is highest.","TRUE","llm"
"Advanced","**Combination Chart 2: Revenue ($1000) and Growth Rate (%) of a Company (2020–2023)**
- Bar (Revenue): 2020 (500), 2021 (600), 2022 (750), 2023 (900)
- Line (Growth Rate): 2021 (20%), 2022 (25%), 2023 (20%)

Question: What is the CAGR of revenue from 2020 to 2023?","43.28%","21.64%","19.48%","23.8%","B","Initial = 500, Final = 900. CAGR = [(900 ÷ 500)^(1/3) - 1] × 100 ≈ 21.64%.","TRUE","mechanical"
"Advanced","**Combination Chart 2: Revenue ($1000) and Growth Rate (%) of a Company (2020–2023)**
- Bar (Revenue): 2020 (500), 2021 (600), 2022 (750), 2023 (900)
- Line (Growth Rate): 2021 (20%), 2022 (25%), 2023 (20%)

Question: What is the total revenue over the four years?","$2,750,000","$3,025,000","$2,475,000","$5,500,000","A","Total = 500 + 600 + 750 + 900 = 2750 ($1000) = $2,750,000.","TRUE","mechanical"
"Advanced","**Combination Chart 2: Revenue ($1000) and Growth Rate (%) of a Company (2020–2023)**
- Bar (Revenue): 2020 (500), 2021 (600), 2022 (750), 2023 (900)
- Line (Growth Rate): 2021 (20%), 2022 (25%), 2023 (20%)

Question: What is the ratio of revenue in 2021 to 2022?","The revenue in 2022 was 75% of the revenue in 2021.","The ratio of revenue in 2021 to 2023 is 4 : 9.","The ratio of revenue in 2023 to 2022 is 6 : 5.","4 : 5","D","2021 (600) : 2022 (750) = 600 : 750 = 4 : 5.","TRUE","llm"
"Advanced","**Combination Chart 2: Revenue ($1000) and Growth Rate (%) of a Company (2020–2023)**
- Bar (Revenue): 2020 (500), 2021 (600), 2022 (750), 2023 (900)
- Line (Growth Rate): 2021 (20%), 2022 (25%), 2023 (20%)

Question: What is the absolute growth in revenue from 2020 to 2023?","$440,000","$800,000","$400,000","$360,000","C","Growth = 900 - 500 = 400 ($1000) = $400,000.","TRUE","mechanical"
"Advanced","**Combination Chart 2: Revenue ($1000) and Growth Rate (%) of a Company (2020–2023)**
- Bar (Revenue): 2020 (500), 2021 (600), 2022 (750), 2023 (900)
- Line (Growth Rate): 2021 (20%), 2022 (25%), 2023 (20%)

Question: What is the percentage contribution of 2022 revenue to total revenue?","30%","54.54%","24.54%","27.27%","D","2022: 750. Total: 2750. % = (750 ÷ 2750) × 100 ≈ 27.27%.","TRUE","mechanical"
"Advanced","**Combination Chart 2: Revenue ($1000) and Growth Rate (%) of a Company (2020–2023)**
- Bar (Revenue): 2020 (500), 2021 (600), 2022 (750), 2023 (900)
- Line (Growth Rate): 2021 (20%), 2022 (25%), 2023 (20%)

Question: What is the average growth rate from 2021 to 2023?","21.67%","65%","20%","25%","A","Total = 20 + 25 + 20 = 65. Average = 65 ÷ 3 ≈ 21.67%.","TRUE","mechanical"
"Advanced","**Combination Chart 2: Revenue ($1000) and Growth Rate (%) of a Company (2020–2023)**
- Bar (Revenue): 2020 (500), 2021 (600), 2022 (750), 2023 (900)
- Line (Growth Rate): 2021 (20%), 2022 (25%), 2023 (20%)

Question: What is the difference in revenue between 2022 and 2023?","$300,000","$165,000","$135,000","$150,000","D","2023: 900 - 2022: 750 = 150 ($1000) = $150,000.","TRUE","mechanical"
"Advanced","**Combination Chart 2: Revenue ($1000) and Growth Rate (%) of a Company (2020–2023)**
- Bar (Revenue): 2020 (500), 2021 (600), 2022 (750), 2023 (900)
- Line (Growth Rate): 2021 (20%), 2022 (25%), 2023 (20%)

Question: If 2024 revenue grows at 15%, what is the projected revenue?","$1,138,500","$1,035,000","$2,070,000","$931,500","B","2023: 900. 2024 = 900 × 1.15 = 1035 ($1000) = $1,035,000.","TRUE","mechanical"
"Advanced","**Pie Chart 1: Market Share (%) and Revenue ($1000) of Four Companies in 2023**
- Company A: 40%, Revenue: 800
- Company B: 30%, Revenue: 600
- Company C: 20%, Revenue: 400
- Company D: 10%, Revenue: 200

Question: What is the total market revenue in 2023?","$2,000,000","$4,000,000","$2,200,000","$1,800,000","A","Total = 800 + 600 + 400 + 200 = 2000 ($1000) = $2,000,000.","TRUE","mechanical"
"Advanced","**Pie Chart 1: Market Share (%) and Revenue ($1000) of Four Companies in 2023**
- Company A: 40%, Revenue: 800
- Company B: 30%, Revenue: 600
- Company C: 20%, Revenue: 400
- Company D: 10%, Revenue: 200

Question: Which company has the highest market share?","Company B has the highest market share.","Company D has the highest market share among these companies in 2025.","Company C's market share is significantly higher in 2022 than in 2023.","Company A","D","A (40%) is highest.","TRUE","llm"
"Advanced","**Pie Chart 1: Market Share (%) and Revenue ($1000) of Four Companies in 2023**
- Company A: 40%, Revenue: 800
- Company B: 30%, Revenue: 600
- Company C: 20%, Revenue: 400
- Company D: 10%, Revenue: 200

Question: What is the ratio of revenue of Company A to Company C?","Company A's revenue is 800 and Company C's revenue is 200, so the ratio of revenue of Company A to Company B is 4 : 1.","The ratio of revenue of Company A to Company B is 4 : 3","The ratio of revenue of Company A to Company C is 3 : 2.","2 : 1","D","A (800) : C (400) = 800 : 400 = 2 : 1.","TRUE","llm"
"Advanced","**Pie Chart 1: Market Share (%) and Revenue ($1000) of Four Companies in 2023**
- Company A: 40%, Revenue: 800
- Company B: 30%, Revenue: 600
- Company C: 20%, Revenue: 400
- Company D: 10%, Revenue: 200

Question: What is the percentage contribution of Company B’s revenue to total revenue?","60%","27%","30%","33%","C","B: 600. Total: 2000. % = (600 ÷ 2000) × 100 = 30%.","TRUE","mechanical"
"Advanced","**Pie Chart 1: Market Share (%) and Revenue ($1000) of Four Companies in 2023**
- Company A: 40%, Revenue: 800
- Company B: 30%, Revenue: 600
- Company C: 20%, Revenue: 400
- Company D: 10%, Revenue: 200

Question: If Company D’s revenue grows by 25% in 2024, what is the new revenue?","$275,000","$225,000","$250,000","$500,000","C","D: 200. Increase = 200 × 0.25 = 50. New = 200 + 50 = 250 ($1000) = $250,000.","TRUE","mechanical"
"Advanced","**Pie Chart 1: Market Share (%) and Revenue ($1000) of Four Companies in 2023**
- Company A: 40%, Revenue: 800
- Company B: 30%, Revenue: 600
- Company C: 20%, Revenue: 400
- Company D: 10%, Revenue: 200

Question: What is the combined market share of Companies C and D?","20%","10%","60%","30%","D","C (20%) + D (10%) = 30%.","TRUE","mechanical"
"Advanced","**Pie Chart 1: Market Share (%) and Revenue ($1000) of Four Companies in 2023**
- Company A: 40%, Revenue: 800
- Company B: 30%, Revenue: 600
- Company C: 20%, Revenue: 400
- Company D: 10%, Revenue: 200

Question: What is the difference in revenue between Companies A and B?","$400,000","$180,000","$220,000","$200,000","D","A (800) - B (600) = 200 ($1000) = $200,000.","TRUE","mechanical"
"Advanced","**Pie Chart 1: Market Share (%) and Revenue ($1000) of Four Companies in 2023**
- Company A: 40%, Revenue: 800
- Company B: 30%, Revenue: 600
- Company C: 20%, Revenue: 400
- Company D: 10%, Revenue: 200

Question: If total market revenue grows by 10% in 2024, what is Company A’s projected revenue (same share)?","$880,000","$1,760,000","$792,000","$968,000","A","Total: 2000 × 1.1 = 2200. A: 40% of 2200 = 880 ($1000) = $880,000.","TRUE","mechanical"
"Advanced","**Pie Chart 1: Market Share (%) and Revenue ($1000) of Four Companies in 2023**
- Company A: 40%, Revenue: 800
- Company B: 30%, Revenue: 600
- Company C: 20%, Revenue: 400
- Company D: 10%, Revenue: 200

Question: What is the weighted average market share, weighted by revenue?","80%","20%","30%","40%","D","Weighted share = [(40 × 800) + (30 × 600) + (20 × 400) + (10 × 200)] ÷ 2000 = 40%.","TRUE","mechanical"
"Advanced","**Pie Chart 1: Market Share (%) and Revenue ($1000) of Four Companies in 2023**
- Company A: 40%, Revenue: 800
- Company B: 30%, Revenue: 600
- Company C: 20%, Revenue: 400
- Company D: 10%, Revenue: 200

Question: Which company has the lowest revenue?","Company A has the highest revenue in 2023.","Company B has a higher revenue than Company C in 2022.","Company D","Company D's revenue is higher than Company A's market share.","C","D (200) is lowest.","TRUE","llm"
"Advanced","**Pie Chart 2: Budget Allocation (%) and Actual Spending ($1000) in 2023**
- Salaries: 50%, Spending: 1000
- Rent: 20%, Spending: 400
- Supplies: 15%, Spending: 300
- Marketing: 15%, Spending: 300

Question: What is the total budget spending in 2023?","$4,000,000","$2,000,000","$1,800,000","$2,200,000","B","Total = 1000 + 400 + 300 + 300 = 2000 ($1000) = $2,000,000.","TRUE","mechanical"
"Advanced","**Pie Chart 2: Budget Allocation (%) and Actual Spending ($1000) in 2023**
- Salaries: 50%, Spending: 1000
- Rent: 20%, Spending: 400
- Supplies: 15%, Spending: 300
- Marketing: 15%, Spending: 300

Question: Which category has the highest allocation?","Supplies have the highest allocation at 15%.","The category with the highest allocation is Marketing at 15% is incorrect, however, since the pie chart data is for 2023.","Rent has the highest allocation at 20% in 2022.","Salaries","D","Salaries (50%) is highest.","TRUE","llm"
"Advanced","**Pie Chart 2: Budget Allocation (%) and Actual Spending ($1000) in 2023**
- Salaries: 50%, Spending: 1000
- Rent: 20%, Spending: 400
- Supplies: 15%, Spending: 300
- Marketing: 15%, Spending: 300

Question: What is the ratio of Salaries to Rent spending?","5 : 2","Salaries spending is $1000 which is 50% of the budget and Supplies spending is $300 which is 15% of the budget, so the ratio of Salaries to Rent spending is 10 : 2.","Salaries spending is $1000 which is 50% of the budget and Rent spending is $400 which is 20% of the budget, so the ratio of Salaries to Rent spending is 5 : 1.","The ratio of Salaries spending is $1000 to Marketing spending of $300, and since both are 15% of the budget, the ratio of Salaries to Rent spending is 10 : 1.","A","Salaries (1000) : Rent (400) = 1000 : 400 = 5 : 2.","TRUE","llm"
"Advanced","**Pie Chart 2: Budget Allocation (%) and Actual Spending ($1000) in 2023**
- Salaries: 50%, Spending: 1000
- Rent: 20%, Spending: 400
- Supplies: 15%, Spending: 300
- Marketing: 15%, Spending: 300

Question: What is the percentage contribution of Supplies to total spending?","30%","14%","16%","15%","D","Supplies: 300. Total: 2000. % = (300 ÷ 2000) × 100 = 15%.","TRUE","mechanical"
"Advanced","**Pie Chart 2: Budget Allocation (%) and Actual Spending ($1000) in 2023**
- Salaries: 50%, Spending: 1000
- Rent: 20%, Spending: 400
- Supplies: 15%, Spending: 300
- Marketing: 15%, Spending: 300

Question: If Marketing spending increases by 20% in 2024, what is the new amount?","$396,000","$360,000","$720,000","$324,000","B","Marketing: 300. Increase = 300 × 0.2 = 60. New = 300 + 60 = 360 ($1000) = $360,000.","TRUE","mechanical"
"Advanced","**Pie Chart 2: Budget Allocation (%) and Actual Spending ($1000) in 2023**
- Salaries: 50%, Spending: 1000
- Rent: 20%, Spending: 400
- Supplies: 15%, Spending: 300
- Marketing: 15%, Spending: 300

Question: What is the combined allocation of Rent and Supplies?","20%","35%","15%","70%","B","Rent (20%) + Supplies (15%) = 35%.","TRUE","mechanical"
"Advanced","**Pie Chart 2: Budget Allocation (%) and Actual Spending ($1000) in 2023**
- Salaries: 50%, Spending: 1000
- Rent: 20%, Spending: 400
- Supplies: 15%, Spending: 300
- Marketing: 15%, Spending: 300

Question: What is the difference in spending between Salaries and Marketing?","$630,000","$770,000","$1,400,000","$700,000","D","Salaries (1000) - Marketing (300) = 700 ($1000) = $700,000.","TRUE","mechanical"
"Advanced","**Pie Chart 2: Budget Allocation (%) and Actual Spending ($1000) in 2023**
- Salaries: 50%, Spending: 1000
- Rent: 20%, Spending: 400
- Supplies: 15%, Spending: 300
- Marketing: 15%, Spending: 300

Question: If total spending grows by 5% in 2024, what is Salaries’ projected spending (same allocation)?","$2,100,000","$1,050,000","$1,155,000","$945,000","B","Total: 2000 × 1.05 = 2100. Salaries: 50% of 2100 = 1050 ($1000) = $1,050,000.","TRUE","mechanical"
"Advanced","**Pie Chart 2: Budget Allocation (%) and Actual Spending ($1000) in 2023**
- Salaries: 50%, Spending: 1000
- Rent: 20%, Spending: 400
- Supplies: 15%, Spending: 300
- Marketing: 15%, Spending: 300

Question: What is the weighted average allocation, weighted by spending?","20%","15%","100%","50%","D","Weighted = [(50 × 1000) + (20 × 400) + (15 × 300) + (15 × 300)] ÷ 2000 = 50%.","TRUE","mechanical"
"Advanced","**Pie Chart 2: Budget Allocation (%) and Actual Spending ($1000) in 2023**
- Salaries: 50%, Spending: 1000
- Rent: 20%, Spending: 400
- Supplies: 15%, Spending: 300
- Marketing: 15%, Spending: 300

Question: Which categories have equal spending?","Supplies and Marketing","Rent and Marketing have equal spending.","Salaries and Rent have equal spending.","The categories with equal spending are Salaries and Marketing since both have a budget of 50% and 15% respectively, and actual spending of 1000 and 300.","A","Supplies (300) and Marketing (300) are equal.","TRUE","llm"
